PRODUCT,DRAW NUMBER,DRAW DATE,BONUS_MULTIPLIER,NUMBER DRAWN 1,NUMBER DRAWN 2,NUMBER DRAWN 3,NUMBER DRAWN 4,NUMBER DRAWN 5,NUMBER DRAWN 6,NUMBER DRAWN 7,NUMBER DRAWN 8,NUMBER DRAWN 9,NUMBER DRAWN 10,NUMBER DRAWN 11,NUMBER DRAWN 12,NUMBER DRAWN 13,NUMBER DRAWN 14,NUMBER DRAWN 15,NUMBER DRAWN 16,NUMBER DRAWN 17,NUMBER DRAWN 18,NUMBER DRAWN 19,NUMBER DRAWN 20
KENO,193470,01/07/1998 6:30:00,,2,14,15,16,25,26,27,31,32,36,54,64,66,68,69,70,71,77,79,80
KENO,193471,01/07/1998 6:35:00,,2,6,7,8,15,16,21,22,26,34,38,39,40,47,61,64,67,68,71,72
KENO,193472,01/07/1998 6:40:00,,4,5,10,12,16,21,23,24,27,33,36,46,48,51,60,64,66,68,73,75
KENO,193473,01/07/1998 6:45:00,,3,4,5,6,17,21,34,38,41,43,44,45,48,51,59,61,73,75,78,79
KENO,193474,01/07/1998 6:50:00,,1,5,7,17,18,19,25,26,38,42,46,47,53,59,62,64,69,70,74,79
KENO,193475,01/07/1998 6:55:00,,2,5,9,10,26,31,34,42,43,48,49,52,53,54,61,63,69,72,74,79
KENO,193476,01/07/1998 7:00:00,,1,2,7,8,12,13,16,17,24,27,28,30,35,36,45,47,51,57,60,75
KENO,193477,01/07/1998 7:05:00,,1,2,13,14,16,21,22,23,27,36,43,46,47,49,50,53,59,68,74,80
KENO,193478,01/07/1998 7:10:00,,10,13,15,18,21,23,28,30,44,57,58,63,65,66,67,68,70,73,76,78
KENO,193479,01/07/1998 7:15:00,,4,6,8,12,13,15,24,27,32,33,35,36,41,49,50,54,59,76,78,79
KENO,193480,01/07/1998 7:20:00,,3,12,15,24,25,31,34,37,46,51,56,57,58,60,67,70,72,74,77,78
KENO,193481,01/07/1998 7:25:00,,13,15,17,27,30,31,32,35,36,41,42,46,50,57,61,62,63,64,65,80
KENO,193482,01/07/1998 7:30:00,,14,16,23,24,25,28,29,34,36,41,44,45,51,53,64,69,70,72,78,79
KENO,193483,01/07/1998 7:35:00,,1,8,9,23,25,26,28,30,32,34,39,45,47,61,62,63,64,74,77,78
KENO,193484,01/07/1998 7:40:00,,6,9,11,13,18,23,27,35,36,47,55,57,61,62,63,65,66,69,78,79
KENO,193485,01/07/1998 7:45:00,,5,8,10,20,22,25,35,40,42,44,58,62,66,68,70,73,74,75,78,79
KENO,193486,01/07/1998 7:50:00,,2,3,10,12,17,19,20,26,32,35,36,38,49,50,52,64,67,69,74,75
KENO,193487,01/07/1998 7:55:00,,3,6,9,11,12,17,19,25,27,47,50,59,60,61,64,67,70,72,74,79
KENO,193488,01/07/1998 8:00:00,,2,4,6,8,13,16,18,21,22,31,33,35,37,39,45,54,60,69,76,78
KENO,193489,01/07/1998 8:05:00,,7,13,17,18,19,24,26,28,29,32,35,36,44,45,46,47,53,60,66,72
KENO,193490,01/07/1998 8:10:00,,10,11,12,14,16,29,31,34,36,38,41,42,43,47,53,54,55,65,68,80
KENO,193491,01/07/1998 8:15:00,,12,13,19,28,29,30,34,37,40,43,49,51,53,57,61,65,68,73,78,79
KENO,193492,01/07/1998 8:20:00,,4,6,7,12,13,24,29,35,42,45,48,50,53,55,57,58,64,75,77,79
KENO,193493,01/07/1998 8:25:00,,8,20,21,24,25,30,31,38,42,45,47,56,59,61,62,63,65,66,67,71
KENO,193494,01/07/1998 8:30:00,,3,5,11,13,14,19,23,33,37,42,45,46,47,68,70,71,75,77,79,80
KENO,193495,01/07/1998 8:35:00,,3,7,9,13,18,32,34,36,49,52,54,57,58,59,60,61,67,69,70,78
KENO,193496,01/07/1998 8:40:00,,3,11,14,17,19,20,22,24,25,32,35,37,42,48,53,59,62,66,70,72
KENO,193497,01/07/1998 8:45:00,,9,11,13,16,17,18,21,22,28,35,38,48,50,55,62,67,69,74,76,77
KENO,193498,01/07/1998 8:50:00,,3,6,10,11,13,16,20,21,22,31,33,36,60,64,65,67,73,74,77,78
KENO,193499,01/07/1998 8:55:00,,6,12,17,19,25,27,28,31,32,33,34,35,37,39,41,43,44,47,57,80
KENO,193500,01/07/1998 9:00:00,,11,19,23,26,28,31,38,45,54,57,58,63,64,65,67,68,69,70,72,73
KENO,193501,01/07/1998 9:05:00,,3,13,18,19,20,21,28,30,33,37,38,48,50,52,53,61,64,75,79,80
KENO,193502,01/07/1998 9:10:00,,9,13,16,17,28,29,32,35,36,37,46,48,49,52,65,69,72,74,75,77
KENO,193503,01/07/1998 9:15:00,,3,5,7,8,27,30,33,34,42,44,46,47,50,52,54,67,70,77,78,80
KENO,193504,01/07/1998 9:20:00,,1,7,10,11,12,14,18,19,32,38,39,50,52,53,55,58,61,73,77,78
KENO,193505,01/07/1998 9:25:00,,2,3,4,8,9,10,14,20,21,22,32,35,42,43,48,50,51,65,72,77
KENO,193506,01/07/1998 9:30:00,,5,6,8,10,13,16,21,30,32,34,38,40,44,45,50,54,58,63,72,75
KENO,193507,01/07/1998 9:35:00,,2,8,9,10,12,13,21,25,26,27,34,36,38,40,41,46,55,59,62,78
KENO,193508,01/07/1998 9:40:00,,3,7,8,17,20,23,24,32,33,40,44,51,56,57,61,67,72,73,76,80
KENO,193509,01/07/1998 9:45:00,,1,3,7,10,11,12,15,16,23,24,30,43,48,50,51,54,55,61,62,63
KENO,193510,01/07/1998 9:50:00,,11,12,15,19,21,24,29,32,35,36,38,39,53,54,55,58,62,64,68,71
KENO,193511,01/07/1998 9:55:00,,5,14,19,22,24,26,30,39,42,45,48,52,56,61,63,64,65,66,68,73
KENO,193512,01/07/1998 10:00:00,,9,10,17,20,21,23,26,34,39,40,42,43,45,46,55,64,66,67,75,77
KENO,193513,01/07/1998 10:05:00,,1,2,4,6,8,10,14,15,18,20,25,33,38,53,56,58,63,69,74,78
KENO,193514,01/07/1998 10:10:00,,4,7,13,14,16,17,22,23,25,27,44,54,55,56,63,69,73,75,76,78
KENO,193515,01/07/1998 10:15:00,,3,4,5,6,9,15,17,18,19,24,31,33,48,50,51,62,67,74,77,79
KENO,193516,01/07/1998 10:20:00,,17,19,20,24,27,28,31,37,39,41,46,51,55,56,63,68,73,74,77,80
KENO,193517,01/07/1998 10:25:00,,2,3,5,12,22,25,28,31,38,46,48,50,52,58,60,64,67,68,73,74
KENO,193518,01/07/1998 10:30:00,,2,3,5,12,14,20,23,31,43,44,49,52,56,57,65,67,72,74,79,80
KENO,193519,01/07/1998 10:35:00,,5,10,13,14,22,27,30,32,34,36,37,38,45,52,55,61,62,66,70,75
KENO,193520,01/07/1998 10:40:00,,4,7,9,11,18,19,23,27,30,32,36,41,43,49,50,53,67,73,74,80
KENO,193521,01/07/1998 10:45:00,,3,4,6,9,10,15,16,18,22,29,35,42,48,50,57,60,63,66,71,80
KENO,193522,01/07/1998 10:50:00,,3,6,23,26,28,35,38,39,41,49,55,58,67,68,70,71,73,74,75,77
KENO,193523,01/07/1998 10:55:00,,7,15,17,18,19,23,25,26,28,35,37,41,43,45,52,57,66,70,74,76
KENO,193524,01/07/1998 11:00:00,,1,6,8,10,12,13,30,32,34,40,41,42,43,47,48,59,62,68,72,78
KENO,193525,01/07/1998 11:05:00,,4,10,14,17,18,20,21,26,33,36,43,45,54,58,59,63,68,71,76,78
KENO,193526,01/07/1998 11:10:00,,3,7,12,19,23,24,27,28,29,36,39,41,42,53,55,59,61,70,74,75
KENO,193527,01/07/1998 11:15:00,,7,16,17,18,19,23,24,27,30,33,38,49,50,52,61,68,69,70,76,78
KENO,193528,01/07/1998 11:20:00,,2,4,7,8,14,15,19,23,27,28,48,49,52,62,71,74,75,76,79,80
KENO,193529,01/07/1998 11:25:00,,4,6,8,11,13,16,18,25,27,31,33,34,43,44,53,54,55,57,62,77
KENO,193530,01/07/1998 11:30:00,,3,7,9,12,28,29,38,41,43,46,50,54,55,56,58,61,67,72,75,80
KENO,193531,01/07/1998 11:35:00,,3,9,14,15,16,24,28,30,32,36,44,49,52,58,65,68,71,72,76,79
KENO,193532,01/07/1998 11:40:00,,1,2,4,10,15,23,28,29,37,38,41,42,52,57,59,62,64,65,72,75
KENO,193533,01/07/1998 11:45:00,,4,8,19,23,27,28,30,32,39,43,54,60,67,69,71,74,75,77,79,80
KENO,193534,01/07/1998 11:50:00,,7,16,21,23,31,33,34,35,37,42,43,56,57,59,68,69,70,72,73,80
KENO,193535,01/07/1998 11:55:00,,4,5,7,9,13,14,34,42,49,51,52,54,62,63,64,65,68,70,77,80
KENO,193536,01/07/1998 12:00:00,,5,9,10,11,12,15,17,20,23,33,34,36,43,44,47,54,55,77,78,80
KENO,193537,01/07/1998 12:05:00,,1,6,10,12,16,25,34,35,40,49,56,58,62,66,68,70,71,73,79,80
KENO,193538,01/07/1998 12:10:00,,1,7,8,9,23,31,32,34,39,40,47,49,50,53,55,58,63,73,78,80
KENO,193539,01/07/1998 12:15:00,,12,16,26,28,29,32,38,40,44,47,48,52,54,60,63,68,70,72,75,76
KENO,193540,01/07/1998 12:20:00,,4,6,7,8,15,18,31,33,35,36,37,41,51,52,57,62,64,65,69,74
KENO,193541,01/07/1998 12:25:00,,5,12,17,20,27,31,35,41,43,44,48,51,56,61,63,64,65,72,77,79
KENO,193542,01/07/1998 12:30:00,,1,5,9,10,15,26,28,31,34,35,38,45,58,60,62,67,74,77,78,79
KENO,193543,01/07/1998 12:35:00,,7,9,16,26,33,41,44,45,47,49,59,64,67,68,72,73,74,76,78,80
KENO,193544,01/07/1998 12:40:00,,2,3,11,17,20,28,30,32,36,37,39,42,43,46,52,58,61,70,73,80
KENO,193545,01/07/1998 12:45:00,,5,10,16,19,27,29,31,32,40,47,48,50,53,55,66,68,69,70,72,77
KENO,193546,01/07/1998 12:50:00,,3,6,9,14,17,26,29,33,36,38,40,44,45,52,53,54,73,76,77,79
KENO,193547,01/07/1998 12:55:00,,3,7,12,14,17,19,26,32,37,38,40,46,55,61,63,64,66,76,78,80
KENO,193548,01/07/1998 13:00:00,,5,7,8,11,14,23,25,26,42,43,45,47,51,53,54,61,63,73,77,78
KENO,193549,01/07/1998 13:05:00,,1,2,10,11,15,16,17,20,22,27,35,51,53,54,55,59,65,69,73,78
KENO,193550,01/07/1998 13:10:00,,4,9,11,15,22,27,33,34,36,45,47,48,51,60,62,63,66,68,69,79
KENO,193551,01/07/1998 13:15:00,,3,5,9,12,18,20,21,26,32,38,39,42,51,53,54,64,68,69,74,79
KENO,193552,01/07/1998 13:20:00,,3,19,20,25,28,30,35,38,40,41,51,55,56,57,61,62,69,70,72,76
KENO,193553,01/07/1998 13:25:00,,3,9,10,11,16,18,20,21,22,30,36,41,44,48,56,61,63,64,72,77
KENO,193554,01/07/1998 13:30:00,,3,7,13,16,18,26,27,31,32,33,38,48,53,57,58,63,64,69,72,77
KENO,193555,01/07/1998 13:35:00,,2,5,8,12,16,25,28,31,32,33,36,38,40,50,58,66,70,71,73,76
KENO,193556,01/07/1998 13:40:00,,2,4,6,17,21,26,27,29,31,40,43,47,50,53,56,61,69,70,74,78
KENO,193557,01/07/1998 13:45:00,,2,5,6,17,19,20,21,22,24,27,33,34,40,42,54,56,58,71,72,79
KENO,193558,01/07/1998 13:50:00,,1,7,13,14,23,26,27,41,42,52,53,61,64,67,71,73,75,76,78,80
KENO,193559,01/07/1998 13:55:00,,8,14,16,18,20,21,26,27,32,43,51,52,55,56,57,62,67,69,70,73
KENO,193560,01/07/1998 14:00:00,,2,5,6,7,11,12,15,23,27,29,40,44,55,61,69,73,74,76,77,79
KENO,193561,01/07/1998 14:05:00,,4,6,8,11,13,21,22,25,29,31,32,34,36,37,52,59,61,62,74,79
KENO,193562,01/07/1998 14:10:00,,3,8,9,12,21,27,28,31,38,41,46,52,53,58,59,61,62,75,76,78
KENO,193563,01/07/1998 14:15:00,,2,4,5,9,11,12,23,25,31,34,37,38,40,46,65,66,69,73,74,75
KENO,193564,01/07/1998 14:20:00,,6,9,10,16,18,24,26,29,33,35,44,45,46,50,51,57,61,67,70,74
KENO,193565,01/07/1998 14:25:00,,7,13,17,19,24,25,28,31,33,34,36,40,44,49,57,59,65,68,69,80
KENO,193566,01/07/1998 14:30:00,,5,16,18,19,20,22,28,33,36,40,42,51,58,60,72,73,74,78,79,80
KENO,193567,01/07/1998 14:35:00,,2,3,6,20,21,28,34,38,49,60,62,64,66,70,75,76,77,78,79,80
KENO,193568,01/07/1998 14:40:00,,2,4,10,11,23,25,26,29,32,33,34,45,47,53,64,69,71,74,75,80
KENO,193569,01/07/1998 14:45:00,,1,2,20,21,22,31,32,33,43,48,57,59,60,61,62,64,67,69,77,78
KENO,193570,01/07/1998 14:50:00,,5,12,20,26,34,35,36,37,44,45,48,56,59,61,64,67,71,73,75,78
KENO,193571,01/07/1998 14:55:00,,5,9,11,18,19,22,24,27,28,37,40,46,50,51,56,65,66,70,73,77
KENO,193572,01/07/1998 15:00:00,,2,14,16,17,19,20,31,36,42,44,45,47,48,56,60,63,72,73,74,75
KENO,193573,01/07/1998 15:05:00,,1,16,23,24,25,27,31,34,35,36,39,43,53,57,59,62,63,65,66,73
KENO,193574,01/07/1998 15:10:00,,17,24,28,32,35,36,39,40,43,44,45,46,50,53,62,64,70,74,75,76
KENO,193575,01/07/1998 15:15:00,,1,2,7,8,10,14,18,29,30,37,50,55,57,59,64,66,67,74,75,79
KENO,193576,01/07/1998 15:20:00,,5,8,18,19,20,24,29,33,35,38,40,47,48,49,54,58,60,61,62,69
KENO,193577,01/07/1998 15:25:00,,6,9,15,21,22,25,26,29,32,37,40,43,44,45,47,52,54,60,71,75
KENO,193578,01/07/1998 15:30:00,,3,8,9,16,24,32,36,41,42,45,48,52,56,57,64,65,71,75,79,80
KENO,193579,01/07/1998 15:35:00,,5,8,14,17,18,22,31,32,38,39,44,49,51,52,55,56,57,58,72,80
KENO,193580,01/07/1998 15:40:00,,11,16,17,18,24,25,29,38,39,42,44,48,50,55,64,66,68,74,75,76
KENO,193581,01/07/1998 15:45:00,,3,6,11,12,15,16,24,28,31,35,37,38,43,48,49,51,56,72,73,78
KENO,193582,01/07/1998 15:50:00,,5,8,13,14,17,18,21,24,27,36,38,40,43,44,54,58,59,65,75,79
KENO,193583,01/07/1998 15:55:00,,6,13,14,17,22,30,31,38,45,52,56,58,59,60,61,63,64,69,71,75
KENO,193584,01/07/1998 16:00:00,,6,9,19,22,30,33,34,36,39,40,41,44,45,49,56,61,64,67,73,76
KENO,193585,01/07/1998 16:05:00,,1,5,6,8,11,13,15,20,21,35,36,40,42,50,51,58,66,67,69,72
KENO,193586,01/07/1998 16:10:00,,1,6,16,19,21,22,29,37,46,53,55,56,59,61,62,65,68,69,71,78
KENO,193587,01/07/1998 16:15:00,,1,5,8,9,12,21,28,37,39,40,46,52,54,59,60,61,69,70,77,78
KENO,193588,01/07/1998 16:20:00,,3,5,11,12,16,19,34,40,41,43,46,47,56,64,66,71,72,73,75,77
KENO,193589,01/07/1998 16:25:00,,4,8,11,12,13,21,24,25,35,36,37,47,48,54,58,60,62,75,77,79
KENO,193590,01/07/1998 16:30:00,,11,13,16,17,20,23,24,26,29,38,43,47,49,58,68,74,75,77,78,80
KENO,193591,01/07/1998 16:35:00,,3,8,9,11,13,18,20,22,23,25,33,39,44,52,53,63,65,70,71,73
KENO,193592,01/07/1998 16:40:00,,3,7,8,9,17,23,27,31,34,35,36,37,43,48,53,55,59,61,75,80
KENO,193593,01/07/1998 16:45:00,,4,6,8,9,29,34,37,38,39,41,46,47,49,59,62,66,68,69,70,74
KENO,193594,01/07/1998 16:50:00,,3,8,9,15,16,19,22,23,27,29,34,36,40,46,51,59,60,61,62,66
KENO,193595,01/07/1998 16:55:00,,4,5,8,16,17,25,27,32,34,35,38,39,40,46,52,59,66,75,78,79
