PRODUCT,DRAW NUMBER,DRAW DATE,BONUS_MULTIPLIER,NUMBER DRAWN 1,NUMBER DRAWN 2,NUMBER DRAWN 3,NUMBER DRAWN 4,NUMBER DRAWN 5,NUMBER DRAWN 6,NUMBER DRAWN 7,NUMBER DRAWN 8,NUMBER DRAWN 9,NUMBER DRAWN 10,NUMBER DRAWN 11,NUMBER DRAWN 12,NUMBER DRAWN 13,NUMBER DRAWN 14,NUMBER DRAWN 15,NUMBER DRAWN 16,NUMBER DRAWN 17,NUMBER DRAWN 18,NUMBER DRAWN 19,NUMBER DRAWN 20
KENO,230993,01/01/1999 10:25:00,,3,16,23,27,31,34,35,43,50,51,56,59,60,62,64,66,68,69,71,79
KENO,230994,01/01/1999 10:30:00,,1,7,8,12,13,22,24,38,41,43,45,51,53,56,57,60,69,73,74,75
KENO,230995,01/01/1999 10:35:00,,4,6,7,11,12,16,23,33,37,39,42,52,55,61,63,68,69,70,72,78
KENO,230996,01/01/1999 10:40:00,,3,5,6,9,15,18,21,22,27,30,34,35,38,40,49,57,64,66,70,75
KENO,230997,01/01/1999 10:45:00,,1,9,11,19,30,33,35,36,38,45,46,48,49,52,58,60,67,69,72,76
KENO,230998,01/01/1999 10:50:00,,1,5,6,8,11,24,27,32,36,38,39,40,43,57,63,64,67,77,79,80
KENO,230999,01/01/1999 10:55:00,,3,6,7,13,14,16,19,20,22,24,27,29,34,36,37,39,41,55,59,79
KENO,231000,01/01/1999 11:00:00,,1,2,6,15,18,19,25,28,36,38,41,43,55,57,59,70,73,74,75,78
KENO,231001,01/01/1999 11:05:00,,5,7,20,30,32,34,35,39,42,49,50,53,57,58,60,68,74,76,77,78
KENO,231002,01/01/1999 11:10:00,,1,9,11,14,16,23,24,25,26,27,28,29,32,36,37,45,46,59,70,76
KENO,231003,01/01/1999 11:15:00,,4,5,8,10,16,20,24,32,37,39,44,45,50,53,56,59,61,68,70,73
KENO,231004,01/01/1999 11:20:00,,5,8,9,11,16,18,23,24,28,43,45,48,53,55,56,60,66,71,76,80
KENO,231005,01/01/1999 11:25:00,,8,9,10,11,14,23,26,27,35,36,37,43,46,48,54,58,66,68,69,76
KENO,231006,01/01/1999 11:30:00,,1,2,4,20,21,25,26,28,31,40,54,55,57,61,62,66,68,69,70,71
KENO,231007,01/01/1999 11:35:00,,4,5,7,11,15,19,22,24,28,29,33,39,46,56,60,63,68,72,73,77
KENO,231008,01/01/1999 11:40:00,,4,9,10,19,20,21,26,27,30,34,41,46,54,57,61,65,72,74,78,79
KENO,231009,01/01/1999 11:45:00,,1,4,8,22,23,28,30,33,34,35,37,41,48,52,54,56,63,67,74,77
KENO,231010,01/01/1999 11:50:00,,5,10,11,16,18,24,25,28,30,33,42,46,49,54,58,60,61,63,66,78
KENO,231011,01/01/1999 11:55:00,,1,2,3,4,5,9,19,25,26,27,29,32,37,42,46,58,62,72,74,78
KENO,231012,01/01/1999 12:00:00,,2,15,17,26,30,34,36,41,44,47,50,51,53,57,60,61,62,63,70,76
KENO,231013,01/01/1999 12:05:00,,4,10,15,19,22,27,30,31,33,53,57,64,65,70,72,74,75,77,78,79
KENO,231014,01/01/1999 12:10:00,,3,8,10,11,16,17,18,25,27,28,32,39,45,47,65,69,73,74,75,77
KENO,231015,01/01/1999 12:15:00,,4,5,12,14,15,16,17,19,21,23,28,36,37,39,42,43,53,63,70,72
KENO,231016,01/01/1999 12:20:00,,13,21,28,31,32,33,35,40,41,45,47,51,60,61,62,63,69,73,78,80
KENO,231017,01/01/1999 12:25:00,,1,8,9,12,14,18,22,28,33,36,42,43,48,49,50,52,56,69,70,75
KENO,231018,01/01/1999 12:30:00,,4,6,16,20,21,28,33,38,40,44,45,47,51,52,55,70,71,72,74,77
KENO,231019,01/01/1999 12:35:00,,1,2,7,9,12,19,22,29,33,39,41,44,48,50,51,52,56,59,79,80
KENO,231020,01/01/1999 12:40:00,,3,4,8,9,10,18,19,25,30,39,41,47,49,57,63,70,72,75,76,79
KENO,231021,01/01/1999 12:45:00,,2,3,6,7,10,29,34,36,40,42,43,45,46,48,50,54,55,62,67,80
KENO,231022,01/01/1999 12:50:00,,2,3,8,9,11,14,20,26,33,35,37,38,41,47,63,67,68,75,76,80
KENO,231023,01/01/1999 12:55:00,,5,6,7,8,11,13,15,16,17,33,42,52,53,57,58,62,63,70,78,80
KENO,231024,01/01/1999 13:00:00,,2,4,5,9,13,16,18,19,31,36,46,47,49,53,55,68,70,72,74,76
KENO,231025,01/01/1999 13:05:00,,1,11,13,15,27,34,36,38,40,46,49,50,52,55,56,58,63,64,66,69
KENO,231026,01/01/1999 13:10:00,,3,15,19,22,27,34,39,41,42,44,47,48,53,60,63,68,74,75,76,77
KENO,231027,01/01/1999 13:15:00,,1,3,9,16,20,21,26,31,45,46,48,60,62,63,65,68,73,75,79,80
KENO,231028,01/01/1999 13:20:00,,8,22,24,27,28,29,34,35,40,45,48,50,51,56,59,60,64,68,76,80
KENO,231029,01/01/1999 13:25:00,,12,16,17,19,26,33,39,42,44,47,54,58,60,64,65,70,71,73,77,80
KENO,231030,01/01/1999 13:30:00,,10,12,13,15,18,19,21,24,27,29,43,44,49,50,53,56,65,67,71,76
KENO,231031,01/01/1999 13:35:00,,1,4,9,15,23,26,27,32,33,34,42,45,53,59,60,63,72,74,76,77
KENO,231032,01/01/1999 13:40:00,,2,5,10,14,17,18,20,22,23,42,44,45,46,48,50,52,57,66,76,78
KENO,231033,01/01/1999 13:45:00,,2,6,7,10,15,32,40,43,44,45,52,54,55,64,71,73,74,76,77,80
KENO,231034,01/01/1999 13:50:00,,10,11,15,24,25,33,39,40,43,51,54,57,59,67,69,70,73,74,76,78
KENO,231035,01/01/1999 13:55:00,,3,5,6,12,15,21,29,31,36,37,39,41,45,47,58,59,61,71,76,78
KENO,231036,01/01/1999 14:00:00,,2,7,16,17,18,23,34,38,40,43,52,53,56,58,61,67,69,70,71,75
KENO,231037,01/01/1999 14:05:00,,2,9,10,12,13,20,26,27,34,35,36,37,41,52,63,65,68,71,77,78
KENO,231038,01/01/1999 14:10:00,,4,6,8,16,17,22,23,25,31,39,44,47,51,53,56,66,73,75,76,77
KENO,231039,01/01/1999 14:15:00,,2,3,6,9,15,18,19,27,28,31,34,45,46,47,52,53,62,65,70,74
KENO,231040,01/01/1999 14:20:00,,1,2,7,12,13,18,24,27,32,35,41,44,45,47,48,62,65,69,75,78
KENO,231041,01/01/1999 14:25:00,,3,5,6,13,14,18,19,24,26,31,37,38,44,52,54,59,62,69,76,77
KENO,231042,01/01/1999 14:30:00,,1,4,7,11,23,24,26,32,36,45,49,52,53,56,62,63,64,70,73,74
KENO,231043,01/01/1999 14:35:00,,2,5,9,12,14,17,20,29,31,32,37,42,43,51,52,61,63,69,74,77
KENO,231044,01/01/1999 14:40:00,,5,7,10,12,16,22,26,33,35,38,40,41,44,50,54,55,66,69,77,79
KENO,231045,01/01/1999 14:45:00,,4,5,17,24,30,31,34,36,39,45,46,47,48,53,55,56,62,64,68,74
KENO,231046,01/01/1999 14:50:00,,3,9,11,22,24,25,33,39,46,54,55,57,59,61,64,66,67,69,74,78
KENO,231047,01/01/1999 14:55:00,,2,4,6,7,9,10,12,25,26,40,44,49,51,57,61,62,66,69,73,76
KENO,231048,01/01/1999 15:00:00,,6,7,17,25,30,31,33,36,39,41,51,53,55,58,59,60,61,62,66,69
KENO,231049,01/01/1999 15:05:00,,1,4,11,15,17,18,23,25,31,43,46,47,48,58,62,63,64,69,70,76
KENO,231050,01/01/1999 15:10:00,,2,6,10,13,24,26,27,38,42,47,53,55,60,62,63,66,68,70,73,78
KENO,231051,01/01/1999 15:15:00,,7,9,17,18,26,27,31,32,33,40,45,48,50,57,63,65,71,72,75,76
KENO,231052,01/01/1999 15:20:00,,8,12,19,22,27,31,32,40,43,44,45,53,54,56,59,67,69,72,73,79
KENO,231053,01/01/1999 15:25:00,,2,3,8,10,11,25,30,31,33,36,38,43,54,58,61,63,65,67,76,78
KENO,231054,01/01/1999 15:30:00,,2,3,13,18,21,28,30,39,40,41,47,48,53,55,61,62,73,74,76,79
KENO,231055,01/01/1999 15:35:00,,2,7,12,20,23,25,26,36,38,43,46,47,48,58,59,63,69,73,74,75
KENO,231056,01/01/1999 15:40:00,,14,17,26,29,32,37,39,42,43,45,50,54,55,56,57,67,70,77,79,80
KENO,231057,01/01/1999 15:45:00,,4,9,11,12,14,20,23,25,26,30,33,42,44,45,58,59,63,69,76,78
KENO,231058,01/01/1999 15:50:00,,9,13,14,17,21,25,32,33,34,38,41,42,44,45,49,60,61,67,72,78
KENO,231059,01/01/1999 15:55:00,,3,5,6,9,14,16,17,21,23,24,29,32,45,46,53,55,67,69,75,76
