"PRODUCT","DRAW NUMBER","DRAW DATE","BONUS MULTIPLIER","NUMBER DRAWN 1","NUMBER DRAWN 2","NUMBER DRAWN 3","NUMBER DRAWN 4","NUMBER DRAWN 5","NUMBER DRAWN 6","NUMBER DRAWN 7","NUMBER DRAWN 8","NUMBER DRAWN 9","NUMBER DRAWN 10","NUMBER DRAWN 11","NUMBER DRAWN 12","NUMBER DRAWN 13","NUMBER DRAWN 14","NUMBER DRAWN 15","NUMBER DRAWN 16","NUMBER DRAWN 17","NUMBER DRAWN 18","NUMBER DRAWN 19","NUMBER DRAWN 20"
"KENO",508212,="01/07/2002 0:00:00",1.0,3,4,10,18,21,25,39,41,42,44,47,53,54,56,57,60,63,68,69,80
"KENO",508213,="01/07/2002 0:05:00",3.0,6,8,9,10,11,14,38,40,42,43,44,53,57,62,63,67,68,69,78,80
"KENO",508214,="01/07/2002 0:10:00",1.0,1,7,18,19,24,25,28,32,35,37,46,47,53,55,57,64,68,69,73,76
"KENO",508215,="01/07/2002 0:15:00",1.0,5,10,17,18,27,28,29,32,36,38,41,42,52,53,55,58,59,63,68,77
"KENO",508216,="01/07/2002 0:20:00",1.0,1,6,7,17,22,24,33,38,39,45,47,49,53,57,60,63,64,69,74,76
"KENO",508217,="01/07/2002 0:25:00",1.0,1,3,17,21,22,23,29,31,32,33,37,53,55,58,63,64,67,70,76,80
"KENO",508218,="01/07/2002 0:30:00",3.0,1,5,11,16,17,18,22,23,26,29,30,31,33,36,46,52,57,66,71,79
"KENO",508219,="01/07/2002 0:35:00",1.0,1,6,11,13,14,15,16,19,21,27,28,32,38,44,47,51,55,66,67,71
"KENO",508220,="01/07/2002 0:40:00",1.0,1,6,8,9,21,26,31,34,40,43,44,51,52,57,59,62,74,76,78,79
"KENO",508221,="01/07/2002 0:45:00",1.0,2,3,8,11,16,26,42,46,48,53,54,58,67,71,72,73,76,77,78,80
"KENO",508222,="01/07/2002 0:50:00",1.0,2,3,7,10,11,17,20,26,28,32,33,37,45,48,49,55,59,71,73,80
"KENO",508223,="01/07/2002 0:55:00",1.0,3,4,5,6,12,19,23,25,26,29,34,35,37,45,46,54,60,71,79,80
"KENO",508224,="01/07/2002 1:00:00",3.0,1,3,5,9,11,14,19,21,29,31,34,43,45,47,61,64,65,68,71,73
"KENO",508225,="01/07/2002 6:05:00",1.0,2,7,9,19,23,24,25,29,41,42,45,48,51,58,63,64,66,68,73,76
"KENO",508226,="01/07/2002 6:10:00",1.0,1,7,13,15,16,22,29,33,39,43,47,52,53,57,58,61,65,75,77,78
"KENO",508227,="01/07/2002 6:15:00",1.0,2,3,9,19,21,27,32,34,46,48,49,51,52,54,55,58,67,69,74,77
"KENO",508228,="01/07/2002 6:20:00",1.0,5,6,9,11,13,16,21,23,27,30,38,39,40,46,47,56,59,60,62,75
"KENO",508229,="01/07/2002 6:25:00",1.0,1,5,17,29,42,43,46,54,55,56,60,62,63,65,66,69,70,71,75,80
"KENO",508230,="01/07/2002 6:30:00",3.0,1,5,8,10,19,24,32,35,39,42,43,44,47,55,58,62,63,69,71,72
"KENO",508231,="01/07/2002 6:35:00",1.0,1,3,5,14,15,24,27,31,37,40,42,45,49,54,61,65,66,78,79,80
"KENO",508232,="01/07/2002 6:40:00",5.0,1,13,14,18,19,20,23,29,36,37,42,50,51,52,59,64,69,70,76,77
"KENO",508233,="01/07/2002 6:45:00",4.0,6,9,16,18,23,25,30,33,37,39,47,51,55,56,60,62,63,74,77,79
"KENO",508234,="01/07/2002 6:50:00",1.0,4,5,12,14,18,19,22,24,32,43,49,57,61,62,64,72,74,76,77,78
"KENO",508235,="01/07/2002 6:55:00",1.0,3,6,13,16,24,30,35,47,49,52,54,56,57,63,65,66,69,74,77,78
"KENO",508236,="01/07/2002 7:00:00",3.0,11,17,18,19,26,33,34,35,41,50,52,55,61,63,64,66,73,75,79,80
"KENO",508237,="01/07/2002 7:05:00",3.0,8,9,14,15,24,25,33,36,37,41,46,51,54,55,59,61,69,71,75,78
"KENO",508238,="01/07/2002 7:10:00",1.0,2,9,11,13,21,27,31,32,41,42,47,55,56,57,59,60,62,70,73,78
"KENO",508239,="01/07/2002 7:15:00",4.0,1,3,5,9,17,18,27,30,33,37,38,41,48,53,55,57,58,59,60,65
"KENO",508240,="01/07/2002 7:20:00",1.0,1,9,10,20,28,34,35,36,41,44,46,47,58,68,69,72,73,76,79,80
"KENO",508241,="01/07/2002 7:25:00",4.0,2,11,16,26,28,34,36,43,45,48,52,55,59,61,68,71,72,75,78,79
"KENO",508242,="01/07/2002 7:30:00",3.0,1,6,8,10,13,25,31,35,44,48,50,51,54,58,68,71,73,75,76,78
"KENO",508243,="01/07/2002 7:35:00",1.0,1,5,15,21,27,28,30,36,37,38,39,42,43,46,47,52,56,69,72,80
"KENO",508244,="01/07/2002 7:40:00",1.0,1,3,4,16,18,19,21,22,27,29,31,34,36,48,54,57,65,70,73,79
"KENO",508245,="01/07/2002 7:45:00",1.0,5,7,24,25,29,33,34,36,38,39,50,53,56,60,66,68,70,73,75,80
"KENO",508246,="01/07/2002 7:50:00",1.0,2,3,4,5,9,10,13,14,16,21,26,39,41,45,49,55,56,58,73,76
"KENO",508247,="01/07/2002 7:55:00",3.0,3,5,7,11,15,17,18,19,21,25,30,31,35,36,39,40,62,68,69,70
"KENO",508248,="01/07/2002 8:00:00",3.0,5,10,13,16,18,20,22,27,30,31,33,35,37,41,43,46,48,58,60,66
"KENO",508249,="01/07/2002 8:05:00",3.0,13,15,20,21,24,28,33,35,37,45,46,51,52,61,66,67,69,74,79,80
"KENO",508250,="01/07/2002 8:10:00",1.0,2,4,7,9,11,12,15,24,25,26,29,35,36,42,50,51,57,63,67,70
"KENO",508251,="01/07/2002 8:15:00",3.0,5,6,8,10,13,20,25,26,28,32,36,41,44,45,53,61,64,72,76,79
"KENO",508252,="01/07/2002 8:20:00",3.0,5,10,11,13,15,22,32,34,40,41,45,47,48,53,55,56,59,64,67,72
"KENO",508253,="01/07/2002 8:25:00",1.0,5,6,12,14,15,16,17,25,27,31,33,42,43,49,52,56,58,59,64,70
"KENO",508254,="01/07/2002 8:30:00",1.0,7,16,18,25,27,36,41,43,48,51,52,53,54,55,58,59,71,74,79,80
"KENO",508255,="01/07/2002 8:35:00",1.0,2,7,9,13,15,22,25,29,31,39,45,52,56,57,62,65,66,70,76,77
"KENO",508256,="01/07/2002 8:40:00",3.0,3,5,7,14,22,28,29,31,35,40,45,46,54,58,62,70,71,75,76,80
"KENO",508257,="01/07/2002 8:45:00",1.0,2,7,10,15,19,20,25,28,36,42,45,46,47,49,54,66,73,74,75,80
"KENO",508258,="01/07/2002 8:50:00",1.0,4,7,8,9,18,26,30,33,36,37,38,39,50,53,57,58,61,64,69,80
"KENO",508259,="01/07/2002 8:55:00",1.0,4,6,11,12,13,14,19,22,28,37,38,48,51,52,54,57,60,71,75,79
"KENO",508260,="01/07/2002 9:00:00",1.0,3,8,22,26,27,30,32,33,35,36,48,50,51,54,55,58,70,74,75,77
"KENO",508261,="01/07/2002 9:05:00",1.0,4,5,10,12,14,17,20,21,23,37,41,45,48,50,51,52,54,61,64,69
"KENO",508262,="01/07/2002 9:10:00",1.0,2,3,5,21,23,25,29,32,37,40,42,43,45,51,53,55,57,73,76,78
"KENO",508263,="01/07/2002 9:15:00",1.0,4,5,16,17,19,20,24,28,30,35,37,39,41,48,49,54,55,56,72,73
"KENO",508264,="01/07/2002 9:20:00",3.0,4,8,9,11,12,13,14,21,22,27,35,37,38,39,47,52,53,60,72,77
"KENO",508265,="01/07/2002 9:25:00",4.0,3,8,9,13,19,20,21,22,23,27,29,30,31,37,39,40,43,53,73,76
"KENO",508266,="01/07/2002 9:30:00",1.0,1,2,5,6,15,16,20,22,30,34,42,45,46,48,52,55,57,71,72,73
"KENO",508267,="01/07/2002 9:35:00",3.0,5,23,33,35,38,39,40,42,45,49,51,54,58,59,60,62,65,68,77,79
"KENO",508268,="01/07/2002 9:40:00",1.0,6,11,13,16,19,22,24,27,34,36,41,45,46,50,52,58,61,72,74,78
"KENO",508269,="01/07/2002 9:45:00",3.0,1,5,6,7,14,17,31,32,33,42,46,47,48,52,53,59,63,71,75,78
"KENO",508270,="01/07/2002 9:50:00",3.0,2,8,10,13,19,22,27,31,34,36,43,44,46,49,51,56,63,67,69,80
"KENO",508271,="01/07/2002 9:55:00",3.0,8,12,24,25,26,28,29,32,38,39,41,45,48,51,52,57,69,74,75,78
"KENO",508272,="01/07/2002 10:00:00",1.0,6,8,10,12,16,19,20,22,33,37,39,40,42,43,50,52,55,58,71,76
"KENO",508273,="01/07/2002 10:05:00",3.0,7,10,18,19,35,39,40,41,45,48,51,58,65,66,67,68,72,74,79,80
"KENO",508274,="01/07/2002 10:10:00",1.0,1,5,6,8,12,18,21,26,31,33,36,37,44,50,55,67,68,71,73,74
"KENO",508275,="01/07/2002 10:15:00",4.0,6,9,17,19,24,25,27,28,39,40,42,43,46,48,49,58,64,69,72,77
"KENO",508276,="01/07/2002 10:20:00",1.0,8,9,13,22,23,24,31,36,37,42,43,46,48,52,59,60,68,69,72,73
"KENO",508277,="01/07/2002 10:25:00",1.0,5,6,19,21,31,33,36,38,43,45,49,54,56,58,61,73,77,78,79,80
"KENO",508278,="01/07/2002 10:30:00",1.0,3,8,21,26,33,34,36,44,45,46,49,51,53,55,56,62,66,69,78,79
"KENO",508279,="01/07/2002 10:35:00",1.0,3,13,14,25,29,30,42,47,48,49,52,55,56,60,61,62,69,74,75,80
"KENO",508280,="01/07/2002 10:40:00",1.0,1,6,18,24,25,27,30,36,38,41,49,51,52,53,59,61,62,66,72,77
"KENO",508281,="01/07/2002 10:45:00",1.0,11,16,19,20,21,23,25,27,31,51,56,58,59,60,68,69,73,74,76,80
"KENO",508282,="01/07/2002 10:50:00",1.0,1,8,10,16,22,23,26,39,41,42,44,47,49,50,55,58,60,70,73,75
"KENO",508283,="01/07/2002 10:55:00",10.0,5,8,16,17,23,37,39,43,44,47,50,52,59,61,64,65,66,74,77,80
"KENO",508284,="01/07/2002 11:00:00",3.0,8,10,16,19,20,21,29,34,38,39,44,53,54,60,63,64,67,74,79,80
"KENO",508285,="01/07/2002 11:05:00",3.0,4,6,7,10,11,14,18,22,25,32,41,42,46,51,58,67,68,69,72,75
"KENO",508286,="01/07/2002 11:10:00",1.0,6,7,9,11,12,18,24,33,36,47,53,57,63,66,69,71,72,73,76,79
"KENO",508287,="01/07/2002 11:15:00",3.0,3,6,8,13,16,18,24,30,33,34,38,39,45,46,50,51,60,64,73,75
"KENO",508288,="01/07/2002 11:20:00",1.0,2,3,10,15,17,18,19,20,22,26,32,39,41,42,53,54,61,71,75,78
"KENO",508289,="01/07/2002 11:25:00",1.0,6,8,13,19,23,26,38,43,45,48,49,60,62,64,66,67,69,70,76,79
"KENO",508290,="01/07/2002 11:30:00",3.0,1,2,7,16,17,20,35,36,37,39,40,44,49,54,56,57,66,68,73,74
"KENO",508291,="01/07/2002 11:35:00",1.0,1,7,14,24,26,28,34,37,38,40,41,54,58,60,64,66,67,70,71,75
"KENO",508292,="01/07/2002 11:40:00",1.0,1,4,8,11,19,22,26,35,39,41,46,48,57,59,60,69,75,76,79,80
"KENO",508293,="01/07/2002 11:45:00",3.0,1,7,11,17,27,30,34,36,37,41,42,45,48,49,57,61,65,72,77,80
"KENO",508294,="01/07/2002 11:50:00",3.0,9,12,21,23,25,28,32,34,35,36,38,40,44,46,49,52,66,68,69,80
"KENO",508295,="01/07/2002 11:55:00",1.0,5,15,18,20,27,28,32,40,48,49,54,58,59,60,65,66,70,72,74,78
"KENO",508296,="01/07/2002 12:00:00",1.0,9,11,16,21,23,26,32,35,36,37,39,42,50,51,54,56,57,64,73,80
"KENO",508297,="01/07/2002 12:05:00",1.0,9,11,15,22,24,28,33,40,45,47,48,52,53,57,58,60,67,68,70,79
"KENO",508298,="01/07/2002 12:10:00",1.0,9,11,13,15,19,24,37,41,45,47,49,54,57,58,61,63,64,66,71,78
"KENO",508299,="01/07/2002 12:15:00",3.0,1,6,8,11,18,24,26,32,33,35,42,49,53,65,66,69,73,74,78,80
"KENO",508300,="01/07/2002 12:20:00",1.0,2,16,30,34,35,39,42,46,52,53,55,56,60,62,63,64,68,69,73,75
"KENO",508301,="01/07/2002 12:25:00",3.0,3,6,12,17,18,26,28,33,34,36,39,44,51,53,55,58,64,65,68,75
"KENO",508302,="01/07/2002 12:30:00",3.0,2,5,9,11,14,16,21,24,26,30,33,34,37,38,42,46,51,53,58,73
"KENO",508303,="01/07/2002 12:35:00",3.0,3,4,6,11,20,21,22,25,26,40,43,46,51,52,55,58,60,68,69,72
"KENO",508304,="01/07/2002 12:40:00",4.0,1,12,16,21,26,27,28,34,43,45,51,55,58,63,64,66,68,73,76,79
"KENO",508305,="01/07/2002 12:45:00",1.0,4,7,8,10,11,15,17,18,28,34,44,46,64,68,70,72,73,75,79,80
"KENO",508306,="01/07/2002 12:50:00",5.0,2,3,5,10,13,19,20,23,24,27,38,41,45,53,55,62,64,70,71,79
"KENO",508307,="01/07/2002 12:55:00",4.0,1,3,9,11,13,19,21,22,33,37,38,43,51,53,54,56,63,65,69,79
"KENO",508308,="01/07/2002 13:00:00",3.0,8,13,14,19,20,23,24,29,37,43,51,56,61,64,65,72,74,77,78,80
