PRODUCT,DRAW NUMBER,DRAW DATE,BONUS_MULTIPLIER,NUMBER DRAWN 1,NUMBER DRAWN 2,NUMBER DRAWN 3,NUMBER DRAWN 4,NUMBER DRAWN 5,NUMBER DRAWN 6,NUMBER DRAWN 7,NUMBER DRAWN 8,NUMBER DRAWN 9,NUMBER DRAWN 10,NUMBER DRAWN 11,NUMBER DRAWN 12,NUMBER DRAWN 13,NUMBER DRAWN 14,NUMBER DRAWN 15,NUMBER DRAWN 16,NUMBER DRAWN 17,NUMBER DRAWN 18,NUMBER DRAWN 19,NUMBER DRAWN 20
KENO,384222,01/01/2001 0:00:00,,1,5,6,9,13,19,30,32,40,41,46,48,49,54,61,63,64,70,71,77
KENO,384223,01/01/2001 0:05:00,,11,13,14,19,23,26,31,34,35,40,47,49,53,54,56,57,61,63,75,76
KENO,384224,01/01/2001 0:10:00,,3,4,12,13,23,24,29,31,39,50,54,55,57,59,65,71,73,74,75,80
KENO,384225,01/01/2001 0:15:00,,4,12,14,15,16,17,19,20,22,33,35,37,41,43,44,49,68,70,75,79
KENO,384226,01/01/2001 0:20:00,,4,11,12,13,17,23,25,30,32,35,38,45,53,56,57,58,61,69,76,80
KENO,384227,01/01/2001 0:25:00,,4,5,7,8,16,17,18,35,41,43,49,50,55,58,64,67,68,69,73,74
KENO,384228,01/01/2001 0:30:00,,8,9,11,21,23,25,27,31,32,38,42,44,46,48,53,58,63,70,78,80
KENO,384229,01/01/2001 0:35:00,,8,13,15,21,22,26,28,33,35,39,40,56,64,68,70,71,75,77,78,80
KENO,384230,01/01/2001 0:40:00,,1,4,6,13,15,17,20,26,28,32,35,39,40,52,59,61,65,69,71,76
KENO,384231,01/01/2001 0:45:00,,6,12,18,21,24,25,26,30,33,34,36,38,39,48,53,65,70,72,79,80
KENO,384232,01/01/2001 0:50:00,,1,3,9,14,18,19,24,25,28,29,33,41,43,45,53,62,67,71,72,76
KENO,384233,01/01/2001 0:55:00,,1,2,4,12,14,21,22,23,31,34,36,37,38,40,51,52,56,59,60,65
KENO,384234,01/01/2001 1:00:00,,3,9,16,21,31,36,37,39,40,41,48,52,53,59,60,61,65,71,74,78
KENO,384235,01/01/2001 6:05:00,,1,2,4,5,10,13,14,16,28,29,30,31,36,49,53,68,72,75,77,78
KENO,384236,01/01/2001 6:10:00,,3,5,7,12,13,14,21,24,25,26,46,55,56,59,66,67,68,72,73,75
KENO,384237,01/01/2001 6:15:00,,1,8,13,16,24,27,28,32,33,35,37,41,45,46,57,65,73,74,77,80
KENO,384238,01/01/2001 6:20:00,,1,3,6,10,14,20,25,29,31,39,40,41,45,46,50,58,61,62,67,73
KENO,384239,01/01/2001 6:25:00,,4,7,9,10,13,17,21,29,46,49,52,55,56,59,61,62,68,70,72,77
KENO,384240,01/01/2001 6:30:00,,2,4,8,11,12,14,15,21,23,25,26,30,42,45,46,55,60,61,72,80
KENO,384241,01/01/2001 6:35:00,,1,4,5,8,9,11,12,16,20,21,22,26,31,41,48,51,58,61,67,71
KENO,384242,01/01/2001 6:40:00,,4,7,9,14,18,25,37,42,45,46,52,56,64,65,66,68,72,77,78,79
KENO,384243,01/01/2001 6:45:00,,6,15,16,19,23,26,32,38,39,40,45,47,52,53,54,58,60,72,75,76
KENO,384244,01/01/2001 6:50:00,,7,9,10,11,18,20,21,23,30,33,34,37,45,59,61,62,63,74,78,80
KENO,384245,01/01/2001 6:55:00,,9,10,11,12,14,15,22,25,26,27,30,33,36,55,63,64,66,69,75,76
KENO,384246,01/01/2001 7:00:00,,4,5,8,11,14,22,23,26,27,33,34,35,47,48,49,53,56,69,70,80
KENO,384247,01/01/2001 7:05:00,,1,2,5,6,7,10,18,22,23,26,27,33,34,38,47,54,70,71,74,75
KENO,384248,01/01/2001 7:10:00,,3,6,7,11,14,19,24,26,30,31,33,35,39,40,41,53,54,64,65,79
KENO,384249,01/01/2001 7:15:00,,2,12,13,15,22,24,28,29,32,35,46,50,55,58,59,67,69,72,77,79
KENO,384250,01/01/2001 7:20:00,,2,7,8,13,16,22,30,32,36,39,41,49,50,55,57,58,60,75,76,77
KENO,384251,01/01/2001 7:25:00,,1,13,17,28,29,34,40,41,43,48,49,55,58,63,70,74,75,77,79,80
KENO,384252,01/01/2001 7:30:00,,3,8,10,11,12,17,19,22,23,24,30,31,36,42,46,51,67,71,73,79
KENO,384253,01/01/2001 7:35:00,,1,2,16,18,24,28,32,34,39,40,44,51,55,57,58,59,64,69,75,80
KENO,384254,01/01/2001 7:40:00,,1,2,5,7,9,10,14,19,20,27,44,45,46,48,49,57,60,66,67,78
KENO,384255,01/01/2001 7:45:00,,3,10,14,15,19,22,28,36,37,38,40,44,47,52,55,58,71,73,74,79
KENO,384256,01/01/2001 7:50:00,,4,6,18,19,21,22,25,29,40,41,54,57,58,59,63,66,72,73,74,79
KENO,384257,01/01/2001 7:55:00,,4,14,15,16,17,19,24,25,31,33,39,41,48,55,67,70,74,75,76,80
KENO,384258,01/01/2001 8:00:00,,5,6,13,15,18,20,21,22,26,28,32,41,46,59,60,62,69,76,77,78
KENO,384259,01/01/2001 8:05:00,,6,9,13,14,15,16,19,20,21,24,26,28,39,43,45,49,57,62,67,75
KENO,384260,01/01/2001 8:10:00,,6,8,10,14,22,26,27,28,33,36,52,53,55,57,61,63,65,69,75,80
KENO,384261,01/01/2001 8:15:00,,3,7,8,14,19,22,23,24,29,33,38,42,54,55,56,67,68,71,72,78
KENO,384262,01/01/2001 8:20:00,,5,7,8,12,13,16,24,25,29,42,43,47,48,56,59,61,67,68,72,75
KENO,384263,01/01/2001 8:25:00,,7,12,13,19,23,35,36,38,46,47,48,58,59,61,65,69,70,76,78,80
