PRODUCT,DRAW NUMBER,DRAW DATE,BONUS_MULTIPLIER,NUMBER DRAWN 1,NUMBER DRAWN 2,NUMBER DRAWN 3,NUMBER DRAWN 4,NUMBER DRAWN 5,NUMBER DRAWN 6,NUMBER DRAWN 7,NUMBER DRAWN 8,NUMBER DRAWN 9,NUMBER DRAWN 10,NUMBER DRAWN 11,NUMBER DRAWN 12,NUMBER DRAWN 13,NUMBER DRAWN 14,NUMBER DRAWN 15,NUMBER DRAWN 16,NUMBER DRAWN 17,NUMBER DRAWN 18,NUMBER DRAWN 19,NUMBER DRAWN 20
KENO,81822,01/01/1997 6:30:00,,8,14,20,25,26,27,29,39,42,49,50,51,63,65,66,67,72,75,78,79
KENO,81823,01/01/1997 6:35:00,,6,9,12,27,28,31,33,38,43,44,45,46,47,48,58,62,70,73,75,79
KENO,81824,01/01/1997 6:40:00,,3,6,7,10,11,18,19,28,30,37,39,45,50,51,58,61,68,70,73,76
KENO,81825,01/01/1997 6:45:00,,14,23,27,28,33,34,40,43,49,50,52,57,59,60,64,67,74,75,78,79
KENO,81826,01/01/1997 6:50:00,,1,8,11,25,26,32,39,41,44,45,46,49,53,57,59,61,63,70,71,78
KENO,81827,01/01/1997 6:55:00,,3,4,6,11,12,13,16,19,20,26,28,43,47,64,67,70,75,76,77,79
KENO,81828,01/01/1997 7:00:00,,5,6,7,9,15,24,32,33,43,44,51,53,55,64,65,66,67,68,69,80
KENO,81829,01/01/1997 7:05:00,,8,13,14,15,23,25,26,28,31,32,36,40,58,59,64,65,68,76,77,80
KENO,81830,01/01/1997 7:10:00,,7,11,17,26,36,38,43,49,50,52,53,56,60,61,67,68,71,77,79,80
KENO,81831,01/01/1997 7:15:00,,2,6,7,22,28,30,38,40,51,52,58,65,66,67,68,69,72,76,77,79
KENO,81832,01/01/1997 7:20:00,,1,7,9,14,16,17,21,23,30,33,38,48,49,55,56,59,64,66,69,78
KENO,81833,01/01/1997 7:25:00,,3,11,20,26,27,29,30,35,37,41,42,44,50,61,64,66,70,71,75,80
KENO,81834,01/01/1997 7:30:00,,1,18,20,21,22,23,24,28,32,34,41,47,50,56,58,72,75,77,78,79
KENO,81835,01/01/1997 7:35:00,,5,11,14,19,20,25,27,31,34,36,38,47,49,50,54,57,70,72,73,75
KENO,81836,01/01/1997 7:40:00,,1,4,6,20,24,25,29,34,35,39,43,49,50,57,62,66,71,72,79,80
KENO,81837,01/01/1997 7:45:00,,2,5,8,9,13,15,18,21,27,29,30,35,36,43,50,54,58,63,67,76
