"PRODUCT","DRAW NUMBER","DRAW DATE","BONUS MULTIPLIER","NUMBER DRAWN 1","NUMBER DRAWN 2","NUMBER DRAWN 3","NUMBER DRAWN 4","NUMBER DRAWN 5","NUMBER DRAWN 6","NUMBER DRAWN 7","NUMBER DRAWN 8","NUMBER DRAWN 9","NUMBER DRAWN 10","NUMBER DRAWN 11","NUMBER DRAWN 12","NUMBER DRAWN 13","NUMBER DRAWN 14","NUMBER DRAWN 15","NUMBER DRAWN 16","NUMBER DRAWN 17","NUMBER DRAWN 18","NUMBER DRAWN 19","NUMBER DRAWN 20"
"KENO",2307230,="14/07/2018 20:14:30",1.5,2,5,11,13,14,18,22,25,26,33,35,37,38,41,50,62,64,68,69,80
"KENO",2307231,="14/07/2018 20:18:00",5.0,2,11,13,15,16,18,21,23,28,30,31,34,38,40,46,52,67,74,75,80
"KENO",2307232,="14/07/2018 20:21:30",1.5,4,14,17,22,23,26,41,42,45,54,56,60,63,71,72,73,74,75,79,80
"KENO",2307233,="14/07/2018 20:25:00",5.0,1,2,3,8,15,17,19,23,26,27,32,35,41,46,48,49,54,62,65,68
"KENO",2307234,="14/07/2018 20:28:30",2.0,11,18,21,25,30,31,32,36,38,40,42,43,47,49,55,57,58,64,70,77
"KENO",2307235,="14/07/2018 20:32:00",1.5,4,7,8,17,21,23,28,37,43,46,50,51,53,54,56,58,61,62,64,73
"KENO",2307236,="14/07/2018 20:35:30",1.5,5,12,16,23,27,30,36,44,48,49,51,55,56,59,60,66,69,72,73,77
"KENO",2307237,="14/07/2018 20:39:00",1.5,2,8,11,12,18,26,27,30,32,33,42,45,50,54,57,66,71,74,75,76
"KENO",2307238,="14/07/2018 20:42:30",2.0,3,7,9,20,23,29,31,38,45,46,53,54,59,60,67,70,72,74,76,78
"KENO",2307239,="14/07/2018 20:46:00",1.5,6,7,9,12,16,18,20,32,35,43,45,50,56,60,63,64,65,75,76,80
"KENO",2307240,="14/07/2018 20:49:30",2.0,3,4,10,16,19,21,23,25,26,34,35,46,54,59,61,64,70,75,76,79
"KENO",2307241,="14/07/2018 20:53:00",2.0,1,2,12,13,16,18,19,42,43,44,45,47,49,53,54,61,68,69,72,73
"KENO",2307242,="14/07/2018 20:56:30",2.0,2,5,17,20,24,33,37,42,44,46,47,50,59,62,67,68,74,75,76,80
"KENO",2307243,="14/07/2018 21:00:00",7.0,1,10,13,18,20,22,29,31,34,37,41,48,61,62,65,68,73,74,75,79
"KENO",2307244,="14/07/2018 21:03:30",1.5,5,8,13,16,17,18,21,22,23,32,33,43,48,51,53,60,68,70,73,78
"KENO",2307245,="14/07/2018 21:07:00",2.0,4,7,10,12,16,17,18,23,25,29,34,35,44,52,57,58,62,63,65,74
"KENO",2307246,="14/07/2018 21:10:30",2.0,6,7,19,35,37,39,44,47,49,50,52,55,58,59,68,71,74,75,76,78
"KENO",2307247,="14/07/2018 21:14:00",5.0,2,6,8,9,10,12,15,21,27,36,42,43,44,52,55,66,68,70,78,80
"KENO",2307248,="14/07/2018 21:17:30",2.0,4,11,14,19,25,27,32,33,37,39,44,45,49,51,53,54,62,65,67,70
"KENO",2307249,="14/07/2018 21:21:00",2.0,1,3,8,9,12,14,21,24,25,27,34,41,46,47,50,51,54,55,56,58
"KENO",2307250,="14/07/2018 21:24:30",2.0,1,5,6,12,20,27,34,37,39,40,54,55,57,58,61,65,67,71,72,79
"KENO",2307251,="14/07/2018 21:28:00",2.0,3,10,11,12,13,19,24,27,32,37,42,44,48,53,61,62,65,70,72,79
"KENO",2307252,="14/07/2018 21:31:30",2.0,1,2,10,18,27,28,30,32,33,34,35,37,48,51,55,57,59,66,74,77
"KENO",2307253,="14/07/2018 21:35:00",1.5,7,10,17,20,23,30,34,35,37,38,42,47,56,59,62,65,69,74,76,80
"KENO",2307254,="14/07/2018 21:38:30",1.5,4,6,15,21,24,28,30,32,38,48,49,51,52,53,54,57,62,68,70,73
"KENO",2307255,="14/07/2018 21:42:00",7.0,3,5,10,11,12,15,26,27,36,46,50,52,57,58,64,66,67,76,77,79
"KENO",2307256,="14/07/2018 21:45:30",2.0,5,6,8,10,12,19,25,26,29,34,36,38,42,45,46,47,49,50,54,59
"KENO",2307257,="14/07/2018 21:49:00",2.0,9,12,17,18,23,24,27,31,35,40,43,45,53,58,59,61,66,69,71,77
