"PRODUCT","DRAW NUMBER","DRAW DATE","BONUS MULTIPLIER","NUMBER DRAWN 1","NUMBER DRAWN 2","NUMBER DRAWN 3","NUMBER DRAWN 4","NUMBER DRAWN 5","NUMBER DRAWN 6","NUMBER DRAWN 7","NUMBER DRAWN 8","NUMBER DRAWN 9","NUMBER DRAWN 10","NUMBER DRAWN 11","NUMBER DRAWN 12","NUMBER DRAWN 13","NUMBER DRAWN 14","NUMBER DRAWN 15","NUMBER DRAWN 16","NUMBER DRAWN 17","NUMBER DRAWN 18","NUMBER DRAWN 19","NUMBER DRAWN 20"
"KENO",2243456,="01/02/2018 23:09:30",2.0,1,2,5,11,18,20,25,30,32,33,35,43,45,46,57,59,62,63,70,72
"KENO",2243457,="01/02/2018 23:13:00",2.0,9,10,11,14,17,21,24,30,33,36,41,42,46,51,52,56,62,70,78,80
"KENO",2243458,="01/02/2018 23:16:30",2.0,2,30,36,40,42,43,47,48,51,53,55,59,62,65,67,68,70,71,72,78
"KENO",2243459,="01/02/2018 23:20:00",1.5,10,13,26,28,32,37,39,41,44,47,48,49,50,51,54,55,59,60,63,67
"KENO",2243460,="01/02/2018 23:23:30",2.0,6,10,18,21,24,26,30,31,32,38,40,53,56,65,68,71,74,78,79,80
"KENO",2243461,="01/02/2018 23:27:00",2.0,1,9,13,15,20,23,29,30,31,37,38,39,40,49,61,64,65,73,75,77
"KENO",2243462,="01/02/2018 23:30:30",2.0,1,4,7,11,13,14,19,21,31,32,44,50,53,54,55,59,60,63,73,74
"KENO",2243463,="01/02/2018 23:34:00",2.0,2,12,18,20,21,22,23,36,39,41,42,44,46,48,51,53,57,60,62,73
"KENO",2243464,="01/02/2018 23:37:30",1.5,9,10,12,22,26,29,36,39,45,46,50,51,57,58,62,66,69,73,75,78
"KENO",2243465,="01/02/2018 23:41:00",1.5,7,9,17,25,31,32,34,40,44,45,48,56,57,59,62,73,77,78,79,80
"KENO",2243466,="01/02/2018 23:44:30",1.5,1,2,7,9,14,16,32,34,37,38,42,43,47,48,50,52,70,75,79,80
"KENO",2243467,="01/02/2018 23:48:00",2.0,7,12,14,17,21,24,26,30,31,32,43,47,50,52,57,58,62,63,65,76
"KENO",2243468,="01/02/2018 23:51:30",1.5,4,5,16,17,18,20,24,28,30,33,40,52,54,64,68,70,74,75,76,79
"KENO",2243469,="01/02/2018 23:55:00",2.0,1,3,6,16,17,23,32,36,37,38,43,44,46,47,48,58,73,74,75,79
"KENO",2243470,="01/02/2018 23:58:30",2.0,7,10,14,19,21,23,29,33,35,38,42,44,51,55,56,62,65,70,71,73
"KENO",2243471,="02/02/2018 0:02:00",5.0,4,10,18,25,27,31,33,35,36,40,44,49,51,57,60,61,67,70,74,76
"KENO",2243472,="02/02/2018 0:05:30",2.0,1,7,8,11,12,18,22,25,27,28,30,32,38,39,61,63,66,67,68,79
"KENO",2243473,="02/02/2018 0:09:00",2.0,1,2,4,8,16,27,32,36,42,44,45,56,59,63,66,67,68,71,79,80
"KENO",2243474,="02/02/2018 0:12:30",2.0,4,10,21,25,28,31,35,37,47,48,49,51,52,55,56,59,62,66,74,78
"KENO",2243475,="02/02/2018 0:16:00",1.5,3,6,18,22,23,28,35,39,41,46,49,57,58,59,62,63,64,67,69,78
