PRODUCT,DRAW NUMBER,DRAW DATE,BONUS_MULTIPLIER,NUMBER DRAWN 1,NUMBER DRAWN 2,NUMBER DRAWN 3,NUMBER DRAWN 4,NUMBER DRAWN 5,NUMBER DRAWN 6,NUMBER DRAWN 7,NUMBER DRAWN 8,NUMBER DRAWN 9,NUMBER DRAWN 10,NUMBER DRAWN 11,NUMBER DRAWN 12,NUMBER DRAWN 13,NUMBER DRAWN 14,NUMBER DRAWN 15,NUMBER DRAWN 16,NUMBER DRAWN 17,NUMBER DRAWN 18,NUMBER DRAWN 19,NUMBER DRAWN 20
KENO,425472,01/07/2001 0:00:00,,2,3,11,19,25,26,29,33,35,39,40,41,44,45,60,65,67,73,74,75
KENO,425473,01/07/2001 0:05:00,,1,3,12,18,19,22,26,27,31,36,37,42,49,52,60,65,67,74,75,80
KENO,425474,01/07/2001 0:10:00,,2,5,9,11,16,20,30,33,37,39,42,45,46,53,55,58,59,63,66,75
KENO,425475,01/07/2001 0:15:00,,1,2,6,7,9,13,14,20,21,29,31,32,42,43,48,59,61,64,65,71
KENO,425476,01/07/2001 0:20:00,,2,3,5,7,13,15,17,27,35,38,42,44,45,47,48,62,66,67,68,75
KENO,425477,01/07/2001 0:25:00,,1,2,9,11,12,13,14,20,23,27,39,43,46,52,60,64,71,76,78,79
KENO,425478,01/07/2001 0:30:00,,4,5,7,9,15,25,27,33,40,41,42,47,54,55,57,58,68,71,72,74
KENO,425479,01/07/2001 0:35:00,,1,3,4,7,14,17,20,22,29,31,34,44,45,49,52,53,54,63,64,80
KENO,425480,01/07/2001 0:40:00,,11,18,25,31,35,39,40,42,43,46,48,52,53,55,61,62,63,68,70,80
KENO,425481,01/07/2001 0:45:00,,9,12,15,17,32,33,38,40,42,44,54,57,60,62,64,67,70,72,73,80
KENO,425482,01/07/2001 0:50:00,,1,4,5,6,19,21,22,23,45,48,50,52,62,64,68,70,73,76,77,79
KENO,425483,01/07/2001 0:55:00,,5,9,12,14,15,22,26,30,32,33,39,41,42,43,44,48,49,58,60,77
KENO,425484,01/07/2001 1:00:00,,2,7,8,11,12,13,15,17,22,23,25,27,28,36,44,47,64,72,77,79
KENO,425485,01/07/2001 6:05:00,,5,14,23,24,25,26,30,37,38,40,41,42,48,49,63,67,68,71,73,77
KENO,425486,01/07/2001 6:10:00,,13,15,16,23,28,35,36,38,39,40,44,49,55,56,62,63,65,74,78,80
KENO,425487,01/07/2001 6:15:00,,2,6,7,10,22,29,32,43,46,48,50,54,62,63,66,67,70,72,75,78
KENO,425488,01/07/2001 6:20:00,,7,15,20,22,25,28,30,31,32,34,36,38,43,44,48,54,55,66,72,80
KENO,425489,01/07/2001 6:25:00,,3,16,21,22,24,27,35,37,44,46,51,53,57,59,64,65,68,69,74,78
KENO,425490,01/07/2001 6:30:00,,6,10,14,17,32,35,37,41,43,55,57,59,60,61,62,66,69,72,74,76
KENO,425491,01/07/2001 6:35:00,,2,5,7,17,25,26,27,32,33,37,39,40,41,50,52,54,56,73,75,77
KENO,425492,01/07/2001 6:40:00,,1,2,8,12,19,21,23,26,27,30,32,37,39,41,47,53,59,69,72,75
KENO,425493,01/07/2001 6:45:00,,5,14,19,22,24,26,28,30,32,37,47,51,54,59,63,64,65,69,75,79
KENO,425494,01/07/2001 6:50:00,,1,7,10,11,18,20,22,26,28,35,40,44,50,51,52,62,63,69,76,79
KENO,425495,01/07/2001 6:55:00,,9,13,14,21,24,26,27,32,37,38,48,49,52,54,58,65,74,75,78,79
KENO,425496,01/07/2001 7:00:00,,1,11,16,17,25,26,35,45,47,53,57,58,60,61,63,66,72,73,74,76
KENO,425497,01/07/2001 7:05:00,,5,6,8,9,13,23,24,28,33,43,44,49,50,51,55,58,59,60,64,77
KENO,425498,01/07/2001 7:10:00,,7,9,15,17,21,28,31,33,40,41,42,45,47,48,51,53,57,67,68,80
KENO,425499,01/07/2001 7:15:00,,1,2,5,7,9,17,22,28,37,40,42,43,45,46,49,53,59,66,73,80
KENO,425500,01/07/2001 7:20:00,,5,7,11,13,17,19,21,24,25,26,34,38,39,49,53,61,64,69,78,79
KENO,425501,01/07/2001 7:25:00,,2,3,8,13,16,22,23,24,32,35,38,40,45,46,47,49,51,54,66,73
