PRODUCT,DRAW NUMBER,DRAW DATE,BONUS_MULTIPLIER,NUMBER DRAWN 1,NUMBER DRAWN 2,NUMBER DRAWN 3,NUMBER DRAWN 4,NUMBER DRAWN 5,NUMBER DRAWN 6,NUMBER DRAWN 7,NUMBER DRAWN 8,NUMBER DRAWN 9,NUMBER DRAWN 10,NUMBER DRAWN 11,NUMBER DRAWN 12,NUMBER DRAWN 13,NUMBER DRAWN 14,NUMBER DRAWN 15,NUMBER DRAWN 16,NUMBER DRAWN 17,NUMBER DRAWN 18,NUMBER DRAWN 19,NUMBER DRAWN 20
KENO,7120,01/01/1996 6:30:00,,4,12,15,17,18,20,22,25,27,31,39,41,46,48,52,53,56,61,71,75
KENO,7121,01/01/1996 6:35:00,,4,5,8,17,20,21,23,27,32,33,35,42,49,50,57,58,60,61,63,79
KENO,7122,01/01/1996 6:40:00,,1,3,6,7,9,11,15,19,21,26,30,31,36,41,44,56,64,73,76,79
KENO,7123,01/01/1996 6:45:00,,11,12,13,17,18,28,30,37,39,46,49,54,56,59,66,68,73,77,79,80
KENO,7124,01/01/1996 6:50:00,,6,8,9,12,14,18,28,29,30,31,34,35,46,56,58,66,70,71,73,80
KENO,7125,01/01/1996 6:55:00,,5,7,12,16,19,29,31,32,37,39,41,43,45,58,60,63,65,71,72,75
KENO,7126,01/01/1996 7:00:00,,7,11,13,16,20,23,42,43,48,50,54,55,58,60,62,65,70,74,75,79
KENO,7127,01/01/1996 7:05:00,,1,3,7,10,14,21,22,28,32,33,37,44,46,48,49,50,54,56,65,72
KENO,7128,01/01/1996 7:10:00,,3,4,5,8,11,17,21,22,24,26,29,47,50,54,55,56,57,71,75,80
KENO,7129,01/01/1996 7:15:00,,1,2,3,4,5,12,18,19,23,26,30,31,37,40,44,49,58,69,73,74
KENO,7130,01/01/1996 7:20:00,,4,5,6,18,19,21,22,24,26,27,30,35,45,51,60,61,68,72,73,76
KENO,7131,01/01/1996 7:25:00,,9,13,15,17,20,23,31,35,36,39,45,60,62,64,66,67,68,70,74,80
KENO,7132,01/01/1996 7:30:00,,9,10,12,15,17,18,25,26,30,35,40,46,47,54,58,63,65,66,69,78
KENO,7133,01/01/1996 7:35:00,,1,5,8,13,17,23,25,26,32,35,36,40,42,43,47,49,53,54,62,72
KENO,7134,01/01/1996 7:40:00,,14,16,24,26,31,35,37,40,44,47,48,50,51,53,54,55,57,59,60,76
KENO,7135,01/01/1996 7:45:00,,2,4,5,6,8,14,15,20,24,26,27,28,33,43,52,53,58,62,72,79
KENO,7136,01/01/1996 7:50:00,,7,16,17,18,19,20,23,27,33,38,40,45,51,52,58,67,69,70,78,79
KENO,7137,01/01/1996 7:55:00,,4,7,13,28,29,30,35,47,49,50,55,56,57,61,62,66,68,71,73,76
KENO,7138,01/01/1996 8:00:00,,5,6,7,16,18,26,31,32,33,35,39,43,45,46,52,60,61,67,70,77
KENO,7139,01/01/1996 8:05:00,,2,4,6,9,12,14,22,31,34,38,41,43,45,49,50,66,68,74,75,80
KENO,7140,01/01/1996 8:10:00,,3,8,11,12,17,21,23,25,27,28,29,31,34,36,42,43,46,56,62,66
KENO,7141,01/01/1996 8:15:00,,2,7,11,14,18,27,30,31,48,50,52,58,60,61,65,67,70,74,78,79
KENO,7142,01/01/1996 8:20:00,,12,15,16,18,21,22,24,25,35,38,40,42,46,50,57,61,67,69,72,80
KENO,7143,01/01/1996 8:25:00,,1,5,8,15,18,19,24,29,38,40,43,50,56,60,62,64,67,74,76,79
KENO,7144,01/01/1996 8:30:00,,10,11,15,16,17,24,44,45,51,52,55,56,59,61,69,75,77,78,79,80
KENO,7145,01/01/1996 8:35:00,,6,8,10,11,13,18,28,29,33,35,39,43,44,50,58,62,63,66,72,75
KENO,7146,01/01/1996 8:40:00,,4,7,9,11,14,30,32,33,35,37,41,45,48,54,58,60,67,74,76,78
KENO,7147,01/01/1996 8:45:00,,15,17,18,19,22,28,30,34,37,45,48,50,54,59,60,67,72,74,75,80
KENO,7148,01/01/1996 8:50:00,,7,11,14,17,30,37,45,46,48,51,52,54,61,62,63,66,67,70,75,78
KENO,7149,01/01/1996 8:55:00,,5,8,10,11,12,15,16,29,33,40,53,54,59,60,61,64,65,67,75,79
KENO,7150,01/01/1996 9:00:00,,22,28,29,30,35,36,40,46,49,50,53,54,65,67,70,71,73,74,76,78
KENO,7151,01/01/1996 9:05:00,,4,10,14,17,29,33,34,36,37,38,40,44,45,53,58,61,64,69,71,76
KENO,7152,01/01/1996 9:10:00,,3,5,7,8,12,13,16,27,31,38,42,48,51,55,57,61,63,69,78,80
KENO,7153,01/01/1996 9:15:00,,3,5,8,10,15,16,20,22,26,28,31,32,46,49,50,60,61,65,70,76
KENO,7154,01/01/1996 9:20:00,,2,10,14,23,26,27,32,36,43,45,50,57,58,60,63,67,69,71,73,75
KENO,7155,01/01/1996 9:25:00,,5,10,13,15,21,26,28,35,39,44,46,54,58,59,64,65,66,67,75,79
KENO,7156,01/01/1996 9:30:00,,3,7,8,11,13,18,19,23,24,25,26,28,29,38,52,54,56,76,78,80
KENO,7157,01/01/1996 9:35:00,,3,6,9,23,27,29,37,44,48,51,53,56,57,62,67,70,72,78,79,80
KENO,7158,01/01/1996 9:40:00,,5,8,13,16,19,20,22,33,39,41,54,57,62,63,66,68,71,74,76,77
KENO,7159,01/01/1996 9:45:00,,1,3,5,7,8,13,14,15,17,21,27,28,32,34,37,50,51,52,75,80
KENO,7160,01/01/1996 9:50:00,,1,18,22,35,37,41,43,44,53,54,56,63,64,66,67,68,69,71,76,77
KENO,7161,01/01/1996 9:55:00,,3,7,10,13,18,20,21,22,23,25,27,30,33,39,40,44,54,60,71,76
KENO,7162,01/01/1996 10:00:00,,5,6,20,23,28,31,37,38,40,41,44,45,47,49,58,59,68,69,72,73
KENO,7163,01/01/1996 10:05:00,,10,13,18,21,24,25,27,36,38,40,43,47,49,50,54,57,58,64,74,77
KENO,7164,01/01/1996 10:10:00,,12,14,16,20,22,23,24,31,32,39,45,49,51,54,56,58,61,71,73,75
KENO,7165,01/01/1996 10:15:00,,3,5,9,17,18,24,25,35,41,42,45,47,48,60,61,62,66,70,72,74
KENO,7166,01/01/1996 10:20:00,,3,11,31,32,33,36,38,40,49,51,54,55,58,60,65,67,71,73,75,76
KENO,7167,01/01/1996 10:25:00,,3,4,6,10,15,18,21,24,28,31,32,37,41,46,60,62,63,64,70,74
KENO,7168,01/01/1996 10:30:00,,5,7,9,16,21,28,29,31,32,35,37,38,42,52,54,56,60,67,78,79
KENO,7169,01/01/1996 10:35:00,,6,8,9,11,13,21,22,26,41,43,50,51,53,54,57,62,63,64,66,69
KENO,7170,01/01/1996 10:40:00,,10,18,29,34,35,36,38,42,45,49,50,51,52,53,57,61,62,73,78,79
KENO,7171,01/01/1996 10:45:00,,4,5,13,15,19,22,25,32,37,38,44,45,50,54,63,70,74,76,79,80
KENO,7172,01/01/1996 10:50:00,,1,3,6,9,10,12,14,20,22,39,47,48,49,50,53,56,68,69,71,78
KENO,7173,01/01/1996 10:55:00,,10,11,12,20,25,29,30,35,44,46,57,58,59,65,67,71,72,73,76,78
KENO,7174,01/01/1996 11:00:00,,1,6,12,24,25,26,27,36,40,42,45,51,53,54,56,60,67,69,76,80
KENO,7175,01/01/1996 11:05:00,,8,10,13,29,30,32,45,47,48,51,55,56,59,62,64,67,70,76,77,79
KENO,7176,01/01/1996 11:10:00,,5,8,9,10,14,15,16,29,31,35,36,37,40,56,59,66,69,77,78,79
KENO,7177,01/01/1996 11:15:00,,9,12,17,18,21,29,34,41,42,44,46,48,50,52,54,57,62,66,77,80
KENO,7178,01/01/1996 11:20:00,,3,4,11,16,20,23,26,27,29,30,32,33,35,41,45,54,57,64,66,79
KENO,7179,01/01/1996 11:25:00,,5,8,16,17,18,27,28,38,39,50,51,59,60,63,65,66,74,78,79,80
KENO,7180,01/01/1996 11:30:00,,10,12,13,14,18,25,30,34,37,40,43,46,56,57,60,63,67,70,74,80
KENO,7181,01/01/1996 11:35:00,,1,4,5,7,17,21,26,32,36,38,49,50,55,57,61,63,66,73,76,77
KENO,7182,01/01/1996 11:40:00,,6,7,18,22,25,27,28,30,39,43,44,46,50,51,65,67,69,72,75,80
KENO,7183,01/01/1996 11:45:00,,1,2,8,10,12,13,20,23,26,30,34,35,36,37,40,45,50,66,73,75
KENO,7184,01/01/1996 11:50:00,,3,5,9,18,20,25,28,34,35,37,41,42,43,44,56,60,62,64,67,68
KENO,7185,01/01/1996 11:55:00,,2,7,8,13,17,18,23,24,26,29,31,32,56,69,70,73,74,75,76,78
KENO,7186,01/01/1996 12:00:00,,1,3,9,11,19,20,23,26,28,31,37,38,44,46,50,53,57,72,77,78
KENO,7187,01/01/1996 12:05:00,,1,6,16,20,21,23,25,30,31,34,40,46,48,49,58,61,64,76,77,78
KENO,7188,01/01/1996 12:10:00,,2,3,4,6,15,16,26,29,33,34,42,47,48,50,53,55,56,71,77,79
KENO,7189,01/01/1996 12:15:00,,3,6,9,10,11,13,20,21,23,31,44,51,56,58,60,61,66,68,71,80
KENO,7190,01/01/1996 12:20:00,,8,9,11,12,16,18,25,28,29,33,34,39,40,42,43,47,60,70,71,74
KENO,7191,01/01/1996 12:25:00,,2,4,7,10,11,13,18,20,22,23,29,30,32,35,48,50,56,60,75,76
KENO,7192,01/01/1996 12:30:00,,1,3,6,10,13,25,29,34,36,38,41,47,51,52,56,59,60,70,72,80
KENO,7193,01/01/1996 12:35:00,,1,2,8,9,12,15,16,31,33,38,44,49,50,58,59,64,72,73,74,79
KENO,7194,01/01/1996 12:40:00,,1,8,12,25,26,28,29,31,39,43,48,51,52,55,57,58,59,66,76,79
KENO,7195,01/01/1996 12:45:00,,12,16,23,29,32,33,39,40,45,47,48,49,51,60,62,63,67,68,76,78
